degradation,method,image_count,precision,recall,map50,map50_95
clean,original,169,0.04204753199268738,0.12994350282485875,0.010708105557890353,0.00418391889843092
low_light,degraded,169,0.05128205128205128,0.11299435028248588,0.008163806457282017,0.002444604461697656
low_light,global_he,169,0.03148148148148148,0.096045197740113,0.0071377372161662185,0.0037463173789709916
low_light,clahe_only,169,0.04716981132075472,0.0847457627118644,0.007683851466920838,0.0022151526536268755
low_light,proposed,169,0.07188160676532769,0.192090395480226,0.029834633251261764,0.008317985622385312
low_light,morphology_ablation,169,0.06648936170212766,0.2824858757062147,0.08120563786130724,0.0350368461676241
fog,degraded,169,0.04004106776180698,0.22033898305084745,0.03130480430145931,0.011675671524535473
fog,global_he,169,0.028523489932885907,0.096045197740113,0.007029244101906652,0.0034937451829250435
fog,clahe_only,169,0.05714285714285714,0.1694915254237288,0.020270576774849176,0.007415237766216921
fog,proposed,169,0.051362683438155136,0.2768361581920904,0.045864721485019695,0.016390338194333918
fog,morphology_ablation,169,0.2801363052301015,0.10734463276836158,0.10946427226222764,0.04615660406555678
noise,degraded,169,0.11805555555555555,0.096045197740113,0.02766551970190837,0.007896968610731709
noise,global_he,169,0.11224489795918367,0.062146892655367235,0.01286976911976912,0.00500197587182713
noise,clahe_only,169,0.14432989690721648,0.07909604519774012,0.02419823854306613,0.007459370084836827
noise,proposed,169,0.09375,0.0847457627118644,0.021626669827982725,0.008152958006325244
noise,morphology_ablation,169,0.09558823529411764,0.22033898305084745,0.06336612149636028,0.024653159778255898
