degradation,method,image_count,psnr,ssim,missing_files,unreadable_files
low_light,degraded,169,13.498066382488794,0.5804564719340687,0,0
low_light,global_he,169,16.499413683060396,0.7325420943796798,0,0
low_light,clahe_only,169,15.476475301948875,0.6945881384273641,0,0
low_light,proposed,169,15.454738612920188,0.6988871825199763,0,0
low_light,morphology_ablation,169,16.011384441209564,0.6377121810238567,0,0
fog,degraded,169,13.9936954796093,0.7518201648169481,0,0
fog,global_he,169,15.36232334298434,0.7414648135889654,0,0
fog,clahe_only,169,15.814849999165421,0.8295649932413359,0,0
fog,proposed,169,15.752499099949304,0.7954687774499006,0,0
fog,morphology_ablation,169,14.568208995747415,0.6577962969577579,0,0
noise,degraded,169,16.776616611860028,0.22723363248743011,0,0
noise,global_he,169,12.684237294802639,0.19250799998371101,0,0
noise,clahe_only,169,11.92894659264812,0.1752366238890231,0,0
noise,proposed,169,12.626789343311215,0.19675700950285535,0,0
noise,morphology_ablation,169,11.326400380935405,0.45427524696767796,0,0
